Author,Pub_Year,English_Name,Life_stage,Life_stage_category,Response_variable,response_type,unique_study,common_name,species_order,treatment_var,rate_or_biomass,response_type_2,term,estimate,std.error,statistic,p.value,mean_estimate,se_estimate,replicate,change_in_2100,percentchange,SEpercentchange
Mattiasen et al,2020,copper & quillback rockfish,Juvenile,adult or juvenile,aerobic_scope,metabolic rate,71,copper & quillback rockfish,8,oxygen,rate,rate,treat_value,0.11494767172015244,0.010830151128661258,10.613671993546909,8.462947539163193e-17,0.11344898619298713,0.007420835657948144,1,-0.4615250140206569,-5.235954494334769,-0.34249012810795076
Mattiasen et al,2020,copper & quillback rockfish,Juvenile,adult or juvenile,movement,survival,72,copper & quillback rockfish,8,oxygen,rate,ability_productivity_growth_survival,treat_value,0.10018987028606749,0.011525777794129244,8.69267758546413,4.261905890749623e-13,0.09542762768484919,0.005010364921499469,1,-0.4615250140206569,-4.404223720520805,-0.231240874064365
McBride et al,1997,Red urchin,Adult,adult or juvenile,feeding_rate,consumption,73,red urchin,5,temperature,rate,consumption,treat_value,0.10023679381582486,0.008080677091850168,12.404504310278588,6.104501223377171e-9,0.09960267032487284,0.007809768289622402,1,2.1520838590396547,21.435329912340684,1.6807276278936103
McBride et al,1997,Red urchin,Adult,adult or juvenile,gonad_index,growth,74,red urchin,5,temperature,biomass,ability_productivity_growth_survival,treat_value,0.004993703871609521,0.02113004774665944,0.23633187825611995,0.8165978165118598,0.03587120295860292,0.025247193893609608,1,2.1520838590396547,7.719783689154484,5.433407846448176
McLean and Todghaam,2015,Dungeness crab,Juvenile,adult or juvenile,heart rate,metabolic rate,75,Dungeness crab,4,temperature,rate,consumption,treat_value,0.030093540703708645,0.001412847748554986,21.2999176553081,1.7312318547706028e-36,0.030944848751575507,0.0012583576142905205,1,2.1520838590396547,6.659590951868906,0.27080911106142763
McLean and Todghaam,2015,Dungeness crab,Juvenile,adult or juvenile,oxygen consumption,metabolic rate,76,Dungeness crab,4,temperature,rate,consumption,treat_value,0.0543933184407671,0.0029475324574962367,18.45384884649283,6.325848631974144e-18,0.05368426009446,0.0014303015290449905,1,2.1520838590396547,11.553302963377401,0.3078128834217462
Miller and Emlet,1999,Red urchin,Adult,adult or juvenile,development_rate,growth,77,red urchin,5,temperature,biomass,ability_productivity_growth_survival,treat_value,0.10349892676649872,0.006699220806706626,15.449397736358442,2.7081988615377576e-13,0.10130174612513372,0.0019633078072784018,1,2.1520838590396547,21.800985272843317,0.4225203042370385
Miller et al,2016,Dungeness crab,Fertilized Egg,propagule,hatching probability,survival,78,Dungeness crab,4,CO2,biomass,ability_productivity_growth_survival,treat_value,-1.2765620959277028e-4,5.7529063109980665e-5,-2.2189864164609228,0.05078169319820129,-1.944904931887344e-4,6.646758211728539e-5,1,758.8649908409783,-14.759202633232626,5.043992109465575
Miller et al,2016,Dungeness crab,Fertilized Egg,propagule,hatching timing,growth,79,Dungeness crab,4,CO2,biomass,ability_productivity_growth_survival,treat_value,-4.376607812359992e-5,1.0692642197124292e-6,-40.93102276944279,1.8143802419978486e-12,-4.310715674943856e-5,1.1550488359524872e-6,1,758.8649908409783,-3.2712512111843313,0.0876526124315967
Mortensen and Savviko,1993,Pink Salmon,Juvenile,adult or juvenile,growth_rate,growth,81,pink salmon,10,temperature,biomass,ability_productivity_growth_survival,treat_value,0.02155290115765795,5.748494389189091e-4,37.49312376157385,6.430487892350612e-60,0.021467603934494758,2.0178480138194254e-4,1,2.1520838590396547,4.620008391968235,0.04342578140536012
Ou et al,2015,Pink Salmon,Juvenile,adult or juvenile,growth_rate,growth,82,pink salmon,10,CO2,biomass,ability_productivity_growth_survival,treat_value,-8.70247799484773e-4,6.289014480747893e-5,-13.837586193334422,1.4723547034390173e-9,-8.702008568633871e-4,8.576523422315948e-5,1,758.8649908409783,-66.03649652734457,6.508423368323228
Ou et al,2015,Pink Salmon,Juvenile,adult or juvenile,metabolic_rate,metabolic rate,83,pink salmon,10,CO2,rate,consumption,treat_value,-1.7467208339132652e-4,2.844953181444287e-5,-6.13971732577516,2.563207002344371e-5,-1.919602585392722e-4,1.4958098565777454e-5,1,758.8649908409783,-14.567191983823664,1.135117733111716
Palacios and Zimmerman,2007,seagrass,Adult,adult or juvenile,rhyzome biomass,growth,84,seagrass,1,pH,biomass,ability_productivity_growth_survival,treat_value,-0.18791480280734238,0.0891477344013426,-2.1079032918699983,0.16957965833016864,-0.27458286385830294,0.1139686315277442,1,-0.30551501524865166,8.388918783868785,-3.481912819906673
Pia et al,2012,Ochre star,Adult,adult or juvenile,survival,survival,85,ochre star,3,salinity,biomass,ability_productivity_growth_survival,treat_value,0.019336322967338698,0.0063584561592213,3.0410405424115963,0.03836311575431462,0.016710049811656965,0.008817961242600078,1,-3,-5.013014943497089,-2.6453883727800234
Reuter et al,2011,Red urchin,gametes,propagule,fertilization success,survival,88,red urchin,5,CO2,biomass,ability_productivity_growth_survival,treat_value,-5.58838864841539e-4,5.9100557167738867e-5,-9.455729211747457,4.793439517161799e-11,-6.193977981569367e-4,2.438467514148795e-5,1,758.8649908409783,-47.00393044252859,1.8504676277905485
Roberts,2013,Dungeness crab,Larvae,propagule,larval_phototaxis,movement,89,Dungeness crab,4,CO2,information,ability_productivity_growth_survival,treat_value,1.2313569910720428e-4,2.9111380978994103e-5,4.229813047895436,8.741070815786008e-5,1.0353980673159463e-4,2.7115685684310777e-5,1,758.8649908409783,7.857273448704821,2.0577144568471346
Roberts,2013,Dungeness crab,Larvae,propagule,swimming_speed,movement,90,Dungeness crab,4,CO2,rate,activity_speed,treat_value,-2.2636237332444826e-4,1.1328509550538525e-4,-1.9981655337324373,0.050394598148144946,-9.579993018356484e-5,7.566898924519856e-5,1,758.8649908409783,-7.269921314131729,5.742254683050368
Shukla and Edwards,2017,Canopy-forming Kelp,gametophyte,propagule,gametophyte_survival,survival,92,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,-7.069260226634338e-6,3.80256749185926e-5,-0.1859075543502801,0.8545962481739057,-1.0929711029246011e-5,5.95695988569513e-5,1,758.8649908409783,-0.8294175060103314,4.520528309098109
Shukla and Edwards,2017,Canopy-forming Kelp,gametophyte,propagule,gametophyte_survival,survival,93,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.1821662759148209,0.019673088042695294,-9.259668615291949,2.8779329582719398e-8,-0.17095746191759148,0.02126327939895014,1,2.1520838590396547,-36.791479437523506,4.5760360384731005
Shukla and Edwards,2017,Canopy-forming Kelp,zoospore,propagule,sporophyte_density,growth,94,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,4.12453653264091e-4,2.681085452031905e-5,15.383830938753041,8.439687418550767e-12,4.8030041749036847e-4,4.214465884848693e-5,1,758.8649908409783,36.44831719197465,3.1982106151053187
Shukla and Edwards,2017,Canopy-forming Kelp,zoospore,propagule,sporophyte_density,growth,95,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.19739753217678405,0.02759803310856061,-7.152594222939514,1.1618701789147446e-6,-0.13955422364029407,0.041229383649737265,1,2.1520838590396547,-30.033239215708708,8.872909107075303
Shukla and Edwards,2017,Canopy-forming Kelp,zoospore,propagule,zoospore_settlement,survival,96,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,-2.1872530066210612e-4,5.3359625974530845e-5,-4.099078594863206,6.736005547718607e-4,-1.7065480358561134e-4,6.882628545799971e-5,1,758.8649908409783,-12.950395595996389,5.22298584837035
Shukla and Edwards,2017,Canopy-forming Kelp,zoospore,propagule,zoospore_settlement,survival,97,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.2520271835113054,0.010657236792810925,-23.64845488666592,5.243709234237155e-15,-0.2500901147536058,0.009038157276131421,1,2.1520838590396547,-53.821489926661016,1.9450872389424243
Sogard and Olla,2001,sablefish,year 0 adult,adult or juvenile,specific growth rate,growth,98,sablefish,7,temperature,biomass,ability_productivity_growth_survival,treat_value,0.02536058401515447,0.0030552991211701967,8.300524108893542,7.447047958423942e-13,0.02567579173239798,7.225566914298216e-4,1,2.1520838590396547,5.525645695535751,0.15550025928672154
Sogard and Olla,2001,sablefish,year 0 adult,adult or juvenile,swimming speed,movement,99,sablefish,7,temperature,rate,ability_productivity_growth_survival,treat_value,-0.04058808133655046,0.011597301297674346,-3.49978674303217,8.143457582431306e-4,-0.038611095846329525,0.0019821111152429523,1,2.1520838590396547,-8.309431615071883,0.42656693379374466
Sogard and Spencer,2001,sablefish,year 0 adult,adult or juvenile,mass at 12 weeks,growth,100,sablefish,7,temperature,biomass,ability_productivity_growth_survival,treat_value,0.05100423718801663,0.002849108060964303,17.901826149322623,6.323448464781898e-9,0.05317385826828258,0.002809821377579241,1,2.1520838590396547,11.443460210203323,0.6046971233472851
Thom,1996,Canopy-forming Kelp,Adult,adult or juvenile,oxygen flux 1,metabolic rate,103,canopy-forming kelp,2,CO2,rate,consumption,treat_value,0.001452833514294965,7.217787090926007e-5,20.128517175595626,8.62364806935091e-14,0.0014227234025775957,8.446639928032968e-5,1,758.8649908409783,107.96549818662926,6.40985933162378
Thom,1996,Canopy-forming Kelp,Adult,adult or juvenile,oxygen flux 2,metabolic rate,104,canopy-forming kelp,2,CO2,rate,consumption,treat_value,0.0016793943003025327,7.352525093984478e-5,22.841054995875382,9.613359553665173e-15,0.0016897661450004054,5.784502696347461e-5,1,758.8649908409783,128.23043701491278,4.389656585683331
Thom,1996,seagrass,Adult,adult or juvenile,leaf extansion rate,growth,106,seagrass,1,CO2,biomass,ability_productivity_growth_survival,treat_value,7.36905284112956e-4,4.6881732298492625e-4,1.571838854889433,0.16704674524057264,3.7896524318051857e-4,2.9407536997011594e-4,1,758.8649908409783,28.758345579523333,22.316350293892935
Thom,1996,seagrass,Adult,adult or juvenile,oxygen flux 1,metabolic rate,107,seagrass,1,CO2,rate,consumption,treat_value,0.0014062982389593222,3.590716738009707e-4,3.9164833696651247,0.0010115698234372838,0.0016142218743867211,2.5605581957340555e-4,1,758.8649908409783,122.49764679217859,19.43117971753516
Thom,1996,seagrass,Adult,adult or juvenile,oxygen flux 2,metabolic rate,108,seagrass,1,CO2,rate,consumption,treat_value,6.173033177234421e-4,1.8657533809776067e-4,3.30860082590332,0.003906422692730273,5.141627879253019e-4,1.4378998454318777e-4,1,758.8649908409783,39.01801393497061,10.91171853033906
Ulbricht and Pritchard,1972,Red urchin,Adult,adult or juvenile,metabolic_rate,metabolic rate,110,red urchin,5,temperature,rate,consumption,treat_value,0.04377191026145184,0.0012639315086478017,34.631552391854335,1.0227843203731281e-50,0.04478717589724397,7.68456793978749e-4,1,2.1520838590396547,9.638575834042861,0.1653783462691027
Vaughn,2015,Red urchin,Adult,adult or juvenile,growth_rate,growth,111,red urchin,5,CO2,biomass,ability_productivity_growth_survival,treat_value,-3.320497638201591e-4,8.803174138339479e-5,-3.7719322440075325,0.0036499494275598287,-2.528777253749045e-4,1.3707473664512925e-4,1,758.8649908409783,-19.190005275051433,10.402121876873553
Wong and Hoffman,2020,Red urchin,embryo,propagule,gastrula area,growth,112,red urchin,5,CO2,biomass,ability_productivity_growth_survival,treat_value,-2.3844092325128676e-4,4.499903789551864e-5,-5.29880047224371,2.5632416141910513e-5,-1.800282737866987e-4,3.591181338794044e-5,1,758.8649908409783,-13.661715433826025,2.7252217937722345
Wong and Hoffman,2020,Red urchin,embryo,propagule,gastrula area,growth,113,red urchin,5,temperature,biomass,ability_productivity_growth_survival,treat_value,7.615887820025286e-4,0.005320797199116492,0.14313433748780896,0.8874869930356124,-0.0019549992508219017,0.004750370686181909,1,2.1520838590396547,-0.4207322332128432,1.0223196078187216
Wong and Hoffman,2020,Red urchin,embryo,propagule,gastrula length,growth,114,red urchin,5,CO2,biomass,ability_productivity_growth_survival,treat_value,-8.4343506644575e-5,3.070947193416859e-5,-2.746498110595351,0.011779214190074392,-1.0517504210894003e-4,2.7087004158305627e-5,1,758.8649908409783,-7.9813657366700275,2.055537916250214
Wong and Hoffman,2020,Red urchin,embryo,propagule,gastrula length,growth,115,red urchin,5,temperature,biomass,ability_productivity_growth_survival,treat_value,0.0017348588468655557,0.004405491500549882,0.39379461897702334,0.697523480944195,0.0015918413189819087,0.004502801180711245,1,2.1520838590396547,0.342577600873336,0.969040574147337
Wong and Hoffman,2020,Red urchin,embryo,propagule,metabolic_rate,metabolic rate,116,red urchin,5,CO2,rate,consumption,treat_value,2.5460382911819717e-4,1.0996252319127671e-4,2.3153691069394706,0.030306348738238516,1.7893183303950355e-4,9.584085926514804e-5,1,758.8649908409783,13.578510384068231,7.273027278843805
Wong and Hoffman,2020,Red urchin,embryo,propagule,metabolic_rate,metabolic rate,117,red urchin,5,temperature,rate,consumption,treat_value,-0.008571039531868765,0.014156664738455655,-0.6054420084263277,0.5510806364757501,-0.011798100973814094,0.022171616284515357,1,2.1520838590396547,-2.5390502673065347,4.771517753472626
Wong and Hoffman,2020,Red urchin,embryo,propagule,prism length,growth,118,red urchin,5,CO2,biomass,ability_productivity_growth_survival,treat_value,-1.1779952005940991e-4,5.047297622497231e-5,-2.3339126968527513,0.029136231506429074,-1.0198405905461414e-4,3.738177734205619e-5,1,758.8649908409783,-7.739213204040555,2.836772212029896
Wong and Hoffman,2020,Red urchin,embryo,propagule,prism length,growth,119,red urchin,5,temperature,biomass,ability_productivity_growth_survival,treat_value,0.02756971910260419,0.007999088258629869,3.446607689677685,0.0023003116423678145,0.039648340144850254,0.009560018982767388,1,2.1520838590396547,8.532655286344621,2.0573962544926396
